,Abbreviation,DriverNumber,TeamName,Position,GridPosition,Status,Points,RaceCountry,Year,AgeAtGP,BestQualiTime,FLapPoint,AvgLapTime,SDLapTime,AvgSplitTime,AvgPitTime,PitstopNo,HARD,INTERMEDIATE,MEDIUM,SOFT,WET,Engine,PrevPodiumRace,Rain,Driver,AverageSpeed,MaxSpeed,AverageRPM,MaxRPM,AverageThrottle,MaxThrottlePct,Brake,raceID
17,GRO,8,Haas F1 Team,10.0,7.0,Finished,1.0,Spain,2019.0,33.0,0 days 00:01:16.911000,0.0,0 days 00:01:27.577092307,0 days 00:00:12.851566,0 days 00:00:05.502830769,0 days 00:00:22.555500,2.0,0.0,0.0,20.0,46.0,0.0,Ferrari,0,False,8,143.35321327248056,328,7817.646940915259,12659,44.60925743184902,34.10941161958801,14.761934130997902,5
18,KUB,88,Williams,18.0,17.0,+1 Lap,0.0,Spain,2019.0,34.0,0 days 00:01:20.254000,0.0,0 days 00:01:29.358593750,0 days 00:00:10.414959,0 days 00:00:07.253343750,0 days 00:00:22.048000,2.0,0.0,0.0,52.0,13.0,0.0,Mercedes,0,False,88,140.29539287035894,336,7435.940761070679,12896,45.29360429258665,27.10928826939682,16.741704699642284,5
19,GIO,99,Alfa Romeo Racing,16.0,18.0,Finished,0.0,Spain,2019.0,25.0,0 days 00:01:18.664000,0.0,0 days 00:01:27.705892307,0 days 00:00:07.877992,0 days 00:00:05.631630769,0 days 00:00:22.944000,2.0,35.0,0.0,0.0,31.0,0.0,Ferrari,0,False,99,143.14962378191686,339,7711.545207845073,12756,53.34001480202294,7.826569631182928,23.28234858764031,5
0,GAS,10,Red Bull Racing,5.0,8.0,Finished,11.0,Monaco,2019.0,22.0,0 days 00:01:11.041000,1.0,0 days 00:01:19.604584415,0 days 00:00:07.123647,0 days 00:00:02.218000,0 days 00:00:24.009500,2.0,0.0,0.0,35.0,43.0,0.0,Honda,0,True,10,113.04666496872966,285,7374.797011630869,12684,34.6329343181368,20.239409117921724,19.15272943373801,6
1,PER,11,Racing Point,12.0,16.0,+1 Lap,0.0,Monaco,2019.0,29.0,0 days 00:01:12.233000,0.0,0 days 00:01:20.547947368,0 days 00:00:06.684040,0 days 00:00:03.139131578,0 days 00:00:28.463000,1.0,66.0,0.0,11.0,0.0,0.0,Mercedes,1,True,11,111.37974361151201,296,7182.825735065229,13184,33.99818886719303,0.45278320174321535,25.93881766986445,6
2,LEC,16,Ferrari,20.0,15.0,Collision,0.0,Monaco,2019.0,21.0,0 days 00:01:12.149000,0.0,0 days 00:01:30.461266666,0 days 00:00:12.724992,0 days 00:00:09.399866666,0 days 00:00:25.834500,2.0,7.0,0.0,9.0,1.0,0.0,Ferrari,0,True,16,25.380054899963213,296,1804.8882474460197,12889,70.44573676316608,59.69946514984294,66.34971842544641,6
3,STR,18,Racing Point,16.0,17.0,+1 Lap,0.0,Monaco,2019.0,20.0,0 days 00:01:12.846000,0.0,0 days 00:01:20.885000,0 days 00:00:05.966946,0 days 00:00:03.476184210,0 days 00:00:24.591000,1.0,37.0,0.0,40.0,0.0,0.0,Mercedes,0,True,18,111.63149107168124,296,7395.874607352067,13429,33.167303393044115,3.874126269915386,20.47995019384781,6
4,MAG,20,Haas F1 Team,14.0,5.0,+1 Lap,0.0,Monaco,2019.0,27.0,0 days 00:01:11.109000,0.0,0 days 00:01:20.638355263,0 days 00:00:07.173303,0 days 00:00:03.229539473,0 days 00:00:25.419000,1.0,0.0,0.0,66.0,11.0,0.0,Ferrari,0,True,20,111.65011178085292,291,7104.779834168153,12325,33.1286753261454,0.707473752723774,23.587174915810625,6
5,ALB,23,Toro Rosso,8.0,10.0,Finished,4.0,Monaco,2019.0,23.0,0 days 00:01:11.429000,0.0,0 days 00:01:20.204105263,0 days 00:00:06.472763,0 days 00:00:02.797842105,0 days 00:00:25.062000,1.0,0.0,0.0,38.0,40.0,0.0,Honda,0,True,23,113.00840478818236,292,7384.727084925149,13228,34.616803916574696,19.662110535699124,23.372102894982596,6
6,KVY,26,Toro Rosso,7.0,7.0,Finished,6.0,Monaco,2019.0,25.0,0 days 00:01:11.271000,0.0,0 days 00:01:20.163259740,0 days 00:00:06.473448,0 days 00:00:02.776675324,0 days 00:00:24.023000,1.0,0.0,0.0,46.0,32.0,0.0,Honda,0,True,26,112.87865410193282,293,7337.5597249342045,12813,34.826951920083765,0.5546594221354388,19.251775759119337,6
7,HUL,27,Renault,13.0,11.0,+1 Lap,0.0,Monaco,2019.0,31.0,0 days 00:01:11.670000,0.0,0 days 00:01:20.632328947,0 days 00:00:06.280501,0 days 00:00:03.223513157,0 days 00:00:25.532000,1.0,68.0,0.0,9.0,0.0,0.0,Renault,0,True,27,111.73608399128392,291,7010.090528341399,12321,35.096725811472396,0.5263604720264878,21.945835809491467,6
