,Abbreviation,DriverNumber,TeamName,Position,GridPosition,Status,Points,RaceCountry,Year,AgeAtGP,BestQualiTime,FLapPoint,AvgLapTime,SDLapTime,AvgSplitTime,AvgPitTime,PitstopNo,HARD,INTERMEDIATE,MEDIUM,SOFT,WET,Engine,Rain,Driver,AverageSpeed,MaxSpeed,AverageRPM,MaxRPM,AverageThrottle,MaxThrottlePct,Brake,raceID
8,ZHO,24,Alfa Romeo,12.0,13.0,Finished,0.0,Brazil,2022.0,23.0,0 days 00:01:15.197000,0,0 days 00:01:23.382971428,0 days 00:00:12.856057,0 days 00:00:04.202300,0 days 00:00:24.721500,2.0,0.0,0.0,21.0,50.0,0.0,,False,24,117.29359070065053,337,6324.057854324411,13031,53.32611709501973,16.80174896022182,33.92342966833743,79
9,OCO,31,Alpine,8.0,16.0,Finished,4.0,Brazil,2022.0,25.0,0 days 00:01:11.587000,0,0 days 00:01:23.205200,0 days 00:00:13.222404,0 days 00:00:04.024528571,0 days 00:00:24.156500,2.0,0.0,0.0,23.0,48.0,0.0,Renault,False,31,115.73328356617255,332,6284.84565959262,12095,36.43995947531193,1.530340194091927,13.73840247413885,79
10,NOR,4,McLaren,18.0,6.0,Gearbox,0.0,Brazil,2022.0,23.0,0 days 00:01:11.377000,0,0 days 00:01:22.431551020,0 days 00:00:12.796702,0 days 00:00:02.894081632,0 days 00:00:27.003500,2.0,0.0,0.0,21.0,29.0,0.0,Mercedes,False,4,82.06763890370054,332,4658.892796203477,12675,56.22368561373574,30.084248693612032,41.14322277914045,79
11,HAM,44,Mercedes,2.0,2.0,Finished,18.0,Brazil,2022.0,37.0,0 days 00:01:11.539000,0,0 days 00:01:23.210571428,0 days 00:00:15.405103,0 days 00:00:04.029900,0 days 00:00:23.748000,2.0,0.0,0.0,19.0,52.0,0.0,Mercedes,False,44,116.0075183960755,337,6246.550255945398,12559,47.35925669190573,11.858803455262876,24.690732643702678,79
12,MSC,47,Haas F1 Team,13.0,12.0,Finished,0.0,Brazil,2022.0,23.0,0 days 00:01:16.361000,0,0 days 00:01:23.437542857,0 days 00:00:12.920045,0 days 00:00:04.256871428,0 days 00:00:24.821500,2.0,0.0,0.0,24.0,47.0,0.0,Ferrari,False,47,115.89468913298496,330,6608.009597952437,12456,48.86933454196438,13.423802922043299,29.377732750346592,79
13,VET,5,Aston Martin,11.0,9.0,Finished,0.0,Brazil,2022.0,35.0,0 days 00:01:11.678000,0,0 days 00:01:23.411757142,0 days 00:00:13.388047,0 days 00:00:04.231085714,0 days 00:00:24.138000,2.0,0.0,0.0,45.0,26.0,0.0,Mercedes,False,5,115.8509118054815,327,6413.663965020795,13030,47.06899861362909,10.989655540151434,27.863389143649353,79
14,SAI,55,Ferrari,3.0,7.0,Finished,15.0,Brazil,2022.0,28.0,0 days 00:01:10.890000,0,0 days 00:01:23.128571428,0 days 00:00:15.207823,0 days 00:00:03.947900,0 days 00:00:24.168333,3.0,0.0,0.0,34.0,37.0,0.0,Ferrari,False,55,115.9629679001813,330,6592.937586648181,12597,50.099952010237814,12.594646475418578,29.303082009171376,79
15,LAT,6,Williams,16.0,18.0,Finished,0.0,Brazil,2022.0,27.0,0 days 00:01:15.095000,0,0 days 00:01:23.420657142,0 days 00:00:12.567685,0 days 00:00:04.239985714,0 days 00:00:25.579667,3.0,12.0,0.0,40.0,19.0,0.0,Mercedes,False,6,117.0186626852938,323,6461.446064839501,12967,49.569745121040846,14.148981550602539,29.527034232697027,79
16,RUS,63,Mercedes,1.0,1.0,Finished,26.0,Brazil,2022.0,23.0,0 days 00:01:11.318000,1,0 days 00:01:23.220985714,0 days 00:00:15.845356,0 days 00:00:04.040314285,0 days 00:00:23.500500,2.0,0.0,0.0,25.0,46.0,0.0,Mercedes,False,63,116.17692225658526,324,6283.240828623227,12477,45.933720806228,10.213821051509012,21.742028367281645,79
17,BOT,77,Alfa Romeo,9.0,14.0,Finished,2.0,Brazil,2022.0,33.0,0 days 00:01:15.486000,0,0 days 00:01:23.313228571,0 days 00:00:13.457813,0 days 00:00:04.132557142,0 days 00:00:24.262000,2.0,0.0,0.0,21.0,50.0,0.0,,False,77,117.34166044577157,332,6410.398928228645,12651,40.79641676442359,4.801642316305855,22.08595499626746,79
0,VER,1,Red Bull Racing,1.0,1.0,Finished,25.0,Abu Dhabi,2022.0,25.0,0 days 00:01:23.824000,0,0 days 00:01:30.766947368,0 days 00:00:02.847126,0 days 00:00:00.959491228,0 days 00:00:22.735000,1.0,38.0,0.0,20.0,0.0,0.0,Red Bull,False,1,125.21875719880212,323,6295.5920294862935,12652,38.604094678645474,0.8523381709283575,11.9413729555402,80
1,GAS,10,AlphaTauri,14.0,17.0,+1 Lap,0.0,Abu Dhabi,2022.0,26.0,0 days 00:01:25.859000,0,0 days 00:01:32.578803571,0 days 00:00:02.748326,0 days 00:00:02.771160714,0 days 00:00:21.855000,1.0,43.0,0.0,0.0,14.0,0.0,,False,10,123.5789276664363,336,6414.085233817093,12669,40.599026721953464,0.18716885510251094,10.516010135913383,80
2,PER,11,Red Bull Racing,3.0,2.0,Finished,15.0,Abu Dhabi,2022.0,32.0,0 days 00:01:24.052000,0,0 days 00:01:30.925543859,0 days 00:00:03.964186,0 days 00:00:01.118087719,0 days 00:00:21.363500,2.0,43.0,0.0,15.0,0.0,0.0,Red Bull,False,11,123.40627159640636,335,6231.6354238654685,12629,38.557935959456344,0.27931352222990097,10.271250863856254,80
3,ALO,14,Alpine,20.0,10.0,Water leak,0.0,Abu Dhabi,2022.0,41.0,0 days 00:01:25.096000,0,0 days 00:01:32.898538461,0 days 00:00:03.730609,0 days 00:00:02.427846153,0 days 00:00:21.740000,1.0,8.0,0.0,19.0,0.0,0.0,Renault,False,14,58.35613913844736,330,3166.91735775167,12585,51.82719995392767,31.473162865699152,38.01831375259157,80
4,LEC,16,Ferrari,2.0,3.0,Finished,18.0,Abu Dhabi,2022.0,25.0,0 days 00:01:24.092000,0,0 days 00:01:30.885842105,0 days 00:00:02.834878,0 days 00:00:01.078385964,0 days 00:00:22.210000,1.0,37.0,0.0,21.0,0.0,0.0,Ferrari,False,16,127.57495392766644,324,6741.447650310988,12370,53.21057935959456,9.989057820778623,23.911541119557704,80
5,STR,18,Aston Martin,8.0,14.0,Finished,4.0,Abu Dhabi,2022.0,24.0,0 days 00:01:25.359000,0,0 days 00:01:31.994263157,0 days 00:00:03.676912,0 days 00:00:02.186807017,0 days 00:00:21.808000,2.0,27.0,0.0,31.0,0.0,0.0,Mercedes,False,18,127.53158834369961,322,6607.799556553789,12812,53.80721607924441,11.76284266298088,23.643745680718727,80
6,MAG,20,Haas F1 Team,17.0,16.0,+1 Lap,0.0,Abu Dhabi,2022.0,30.0,0 days 00:01:25.834000,0,0 days 00:01:33.132892857,0 days 00:00:02.898041,0 days 00:00:03.325250,0 days 00:00:22.387000,1.0,28.0,0.0,29.0,0.0,0.0,Ferrari,False,20,125.66228979497812,325,6617.383120248791,12694,55.34966021653997,14.763303386316517,27.539737387698686,80
7,TSU,22,AlphaTauri,11.0,11.0,Finished,0.0,Abu Dhabi,2022.0,22.0,0 days 00:01:25.219000,0,0 days 00:01:32.220122807,0 days 00:00:03.922585,0 days 00:00:02.412666666,0 days 00:00:21.926500,2.0,24.0,0.0,14.0,20.0,0.0,,False,22,124.77821930430777,332,6556.815710665745,12857,40.962623819396455,31.63729555401981,10.300046072333565,80
8,ALB,23,Williams,13.0,19.0,+1 Lap,0.0,Abu Dhabi,2022.0,26.0,0 days 00:01:26.028000,0,0 days 00:01:32.573321428,0 days 00:00:03.811326,0 days 00:00:02.765678571,0 days 00:00:21.795500,2.0,23.0,0.0,34.0,0.0,0.0,Mercedes,False,23,125.43204330799355,339,6579.0810009214465,12662,50.059519695922596,12.06807187284036,25.32826537664133,80
9,ZHO,24,Alfa Romeo,12.0,15.0,+1 Lap,0.0,Abu Dhabi,2022.0,23.0,0 days 00:01:25.408000,0,0 days 00:01:32.578571428,0 days 00:00:04.026329,0 days 00:00:02.770928571,0 days 00:00:22.797000,2.0,29.0,0.0,15.0,13.0,0.0,,False,24,125.49674614144206,332,6322.167847270214,12660,56.66879751209399,15.097327804653304,27.45047224141903,80
10,RIC,3,McLaren,9.0,13.0,Finished,2.0,Abu Dhabi,2022.0,33.0,0 days 00:01:25.045000,0,0 days 00:01:32.087526315,0 days 00:00:02.840966,0 days 00:00:02.280070175,0 days 00:00:21.893000,1.0,39.0,0.0,19.0,0.0,0.0,Mercedes,False,3,127.81778392075559,326,6809.206260078323,12575,50.66061967288643,10.363395530983645,21.210550564386086,80
11,OCO,31,Alpine,7.0,8.0,Finished,6.0,Abu Dhabi,2022.0,26.0,0 days 00:01:24.830000,0,0 days 00:01:31.687543859,0 days 00:00:03.871407,0 days 00:00:01.880087719,0 days 00:00:21.814500,2.0,44.0,0.0,14.0,0.0,0.0,Renault,False,31,125.26474314674039,334,6457.291061967288,12106,41.89699953927666,31.671849804192583,10.279889426399446,80
12,NOR,4,McLaren,6.0,7.0,Finished,9.0,Abu Dhabi,2022.0,23.0,0 days 00:01:24.769000,1,0 days 00:01:31.688421052,0 days 00:00:03.853917,0 days 00:00:01.880964912,0 days 00:00:21.896500,2.0,27.0,0.0,31.0,0.0,0.0,Mercedes,False,4,125.04546763418567,327,6651.287088228519,12531,51.064587652614605,10.947938263073025,23.56599861782999,80
13,HAM,44,Mercedes,18.0,5.0,Hydraulics,0.0,Abu Dhabi,2022.0,37.0,0 days 00:01:24.508000,0,0 days 00:01:31.891166666,0 days 00:00:05.732930,0 days 00:00:02.072481481,0 days 00:00:21.270000,1.0,37.0,0.0,18.0,0.0,0.0,Mercedes,False,44,119.45769983874683,330,6059.763792904861,13077,51.894321584888274,12.338746832527066,22.992973969131537,80
14,MSC,47,Haas F1 Team,16.0,12.0,+1 Lap,0.0,Abu Dhabi,2022.0,23.0,0 days 00:01:25.225000,0,0 days 00:01:32.951089285,0 days 00:00:04.129069,0 days 00:00:03.143446428,0 days 00:00:22.903000,2.0,20.0,0.0,37.0,0.0,0.0,Ferrari,False,47,125.58992743607463,327,6713.355592029487,12660,50.51379290486063,9.796129923980649,23.614950472241418,80
15,VET,5,Aston Martin,10.0,9.0,Finished,1.0,Abu Dhabi,2022.0,35.0,0 days 00:01:24.961000,0,0 days 00:01:32.146614035,0 days 00:00:03.057131,0 days 00:00:02.339157894,0 days 00:00:23.186000,1.0,33.0,0.0,25.0,0.0,0.0,Mercedes,False,5,125.30137065192352,326,6516.257054826077,12956,52.953466943100665,12.165975581663211,24.576710435383553,80
16,SAI,55,Ferrari,4.0,4.0,Finished,12.0,Abu Dhabi,2022.0,28.0,0 days 00:01:24.242000,0,0 days 00:01:31.146842105,0 days 00:00:03.799668,0 days 00:00:01.339385964,0 days 00:00:21.752500,2.0,41.0,0.0,17.0,0.0,0.0,Ferrari,False,55,127.57714236351072,327,6579.329532365814,12447,55.56994356139138,13.248675420410045,26.35049527758581,80
17,LAT,6,Williams,19.0,20.0,Collision damage,0.0,Abu Dhabi,2022.0,27.0,0 days 00:01:26.054000,0,0 days 00:01:34.323703703,0 days 00:00:06.817590,0 days 00:00:04.505018518,0 days 00:00:23.798500,2.0,23.0,0.0,32.0,0.0,0.0,Mercedes,False,6,119.44646970744068,330,6213.8561103432385,12788,49.385826998387465,12.384819166090763,26.04526606772633,80
18,RUS,63,Mercedes,5.0,6.0,Finished,10.0,Abu Dhabi,2022.0,23.0,0 days 00:01:24.511000,0,0 days 00:01:31.320982456,0 days 00:00:04.489247,0 days 00:00:01.513526315,0 days 00:00:26.087000,2.0,24.0,0.0,34.0,0.0,0.0,Mercedes,False,63,127.62263879290487,329,6460.18192812716,12852,53.573226215157796,11.601589495507946,22.278852798894263,80
19,BOT,77,Alfa Romeo,15.0,18.0,+1 Lap,0.0,Abu Dhabi,2022.0,33.0,0 days 00:01:25.892000,0,0 days 00:01:32.725517857,0 days 00:00:03.036278,0 days 00:00:02.917875,0 days 00:00:22.573000,1.0,30.0,0.0,27.0,0.0,0.0,,False,77,125.654198341396,328,6380.788182446441,12610,43.82993549873301,2.502303616678185,16.099401059663673,80
